,Ultimate Parent Name,Country,Ultimate Parent ISIN,Latitude,Longitude,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
10301,India,India,,24.57132,73.69154,79,77,74,74,75,74,73,78
38846,Banco de Sabadell S.A.,Spain,ES0113860A34,36.98299,-4.918781,83,85,86,88,89,90,92,93
18594,China,China,,26.05601,119.3087,73,74,74,76,76,79,80,81
15382,China,China,,38.91788,121.6333,65,67,68,70,75,74,77,80
7153,India,India,,23.0056,72.5529,76,75,75,70,73,72,72,73
18721,Banco de Sabadell S.A.,Spain,ES0113860A34,38.62867,-0.764085,80,84,84,87,88,90,91,92
43843,Yorkshire Building Society,United Kingdom,,53.54212,-2.114544,75,76,73,75,77,78,80,84
28556,China,China,,28.31029,109.7454,69,70,72,76,80,83,84,87
15563,ICICI Bank,India,INE090A01021,22.94939,88.43814,65,65,58,58,58,56,60,63
47096,Eurobank Ergasias Svcs & Hldgs,Greece,GRS323003012,35.33861,25.13943,72,71,72,70,69,69,68,69
8829,China,China,,30.75534,106.0682,66,69,66,72,75,76,78,81
547,Kaidi Ecological & Envmntl Tec,China,CNE000001089,31.2489,117.2287,69,74,76,77,80,80,82,84
51138,Crédit Mutuel Group,France,,48.58637,7.763484,64,67,63,68,72,76,78,78
6447,Ashland Global Holdings Inc.,India,US0441861046,19.069208,73.001646,49,54,57,54,57,59,62,63
20824,ICICI Bank,India,INE090A01021,25.57175,91.88369,56,56,55,56,59,61,63,65
20685,Mortstedt Family Trust,France,,45.76039,4.86351,69,70,67,69,73,72,77,78
38129,China,China,,39.86752,116.3736,78,79,78,69,72,70,72,72
6344,Huishang Bank,China,CNE100001QP7,32.94177,117.358,62,62,62,64,68,66,68,70
21935,YTL Power International Berhad,United Kingdom,MYL6742OO000,51.41691,-2.483826,74,75,75,80,81,82,87,88
26610,India,India,,11.04535,76.9859,70,70,67,66,65,65,66,67
41788,DENTSPLY SIRONA Inc.,Denmark,US24906P1093,56.209048,10.213068,73,74,75,83,87,88,90,91
35354,Fresenius SE & Co. KGaA,Germany,DE0005785604,50.215001,8.624542,77,80,75,78,83,85,88,89
30755,China Merchants Bank,China,CNE000001B33,32.10285,120.7423,69,71,72,77,80,82,83,86
45768,Walgreens Boots Alliance Inc.,United Kingdom,US9314271084,52.3998878,0.2657949,73,76,75,82,86,87,90,91
7364,Alpiq Holding AG,Switzerland,CH0034389707,46.15308,7.62009,73,75,71,72,76,74,77,76
4894,Banco Santander S.A.,Portugal,ES0113900J37,38.79874,-9.162807,66,66,68,74,73,77,83,85
34115,China,China,,36.62612,114.4487,76,78,75,70,69,72,72,72
30648,China,China,,41.88387,123.9181,75,74,69,75,75,75,80,80
51069,United Bank for Africa Plc,Nigeria,NGUBA0000001,6.20558,6.72131,67,69,64,63,65,64,67,70
10119,India,India,,30.3305,76.39222,78,75,72,72,73,70,69,73
51961,India,India,,29.79953,75.82289,81,77,75,73,74,71,70,75
9749,Shinhan Financial Group,India,KR7055550008,18.53515,73.87832,82,82,78,76,77,75,76,76
5422,China,China,,19.74165,110.0045,73,75,78,79,84,88,90,90
31399,ICICI Bank,India,INE090A01021,22.29002,73.17016,72,70,71,68,70,70,70,72
36597,Supermarket Income REIT plc,United Kingdom,GB00BF345X11,51.40811,-0.72545,81,84,79,84,86,86,90,91
15116,UniCredit S.p.A.,Bosnia and Herzegovina,IT0005239360,44.22601,17.65856,74,75,69,74,75,79,83,83
35257,Marubeni Corp.,Portugal,JP3877600001,40.49284,-7.31777,77,77,77,82,83,83,88,89
34673,Invensys plc,United Kingdom,,51.497451,-0.141535,79,81,77,79,81,81,84,85
46662,Groupe BPCE,France,,43.54935,1.535897,80,84,83,86,87,90,92,93
