,Ultimate Parent Name,Ultimate Parent ISIN,Asset ID,Latitude,Longitude,Activity Description,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
16189,GDS Holdings Ltd.,US36165L1089,7284,23.12907982,113.2643585,Wholesale,63,64,62,64,68,67,69,72
32790,China,,417450,30.73118,111.4981,Bank Branch,65,68,70,73,81,80,83,85
32613,Guangdong Shunde Rural Comm Bk,,510854,22.98431,113.144,Bank Branch,64,65,64,66,68,68,71,72
38731,China,,428225,39.12255,117.0731,Bank Branch,65,67,62,57,60,59,62,61
8691,Bank of Comms Co. Ltd.,CNE100000205,357391,45.75479,126.6395,Bank Branch,63,63,63,67,70,68,73,75
47629,China,,526388,30.6218,103.6739,Bank Branch,67,74,71,79,83,87,88,89
4798,Ping An Ins (Grp) Co. CN Ltd,CNE1000003X6,820731,22.81314,108.3914,Bank Branch,68,72,74,76,80,84,81,84
38739,China,,832136,22.69082,113.7835,Bank Branch,68,67,66,69,73,75,76,78
49887,China,,427448,27.92182,101.2793,Bank Branch,64,65,68,74,77,84,87,88
49836,China Vanke Co,CNE0000000T2,10211575,30.3422,114.0558,Multi-Use,65,67,73,74,78,77,80,82
45217,Poly Property Group Co.,HK0119000674,10070106,23.40439,113.21671,Multi-Use,62,64,62,65,67,66,68,71
26057,Country Garden Holdings,KYG245241032,10201906,31.86945,119.94498,Residential,67,71,69,75,79,80,81,83
15157,China Minsheng Banking,CNE0000015Y0,347104,30.61773,114.1493,Bank Branch,62,65,67,69,71,70,73,74
41125,Shenzhen Municipal People's Gv,,130539,22.56336,114.09406,Office,67,68,66,69,71,73,74,76
36420,ZIBO City Linzi District Publi,,73162,36.78225,118.2352,Power Plant,71,69,67,66,67,65,67,68
36384,BBMG Corp.,CNE100000F20,108,40.186742,116.167224,Cement,77,75,73,72,72,71,73,73
